"state1","place1","mi_to_place","state2","place2"
"01","00100",3.25667879291035,"01","79344"
"01","00100",6.40932722330285,"01","59016"
"01","00100",6.6611941444649,"01","19816"
"01","00100",9.84013229118356,"01","65040"
"01","00100",11.3834990165011,"01","26200"
"01","00100",14.5348153307191,"01","30448"
"01","00100",14.9943808167226,"01","65592"
"01","00100",15.1327425737654,"01","80496"
"01","00100",15.1612540488199,"01","40672"
"01","00100",15.3308188118286,"01","28120"
"01","00100",15.3718742975941,"01","54432"
"01","00100",16.6293648337312,"01","72720"
"01","00100",20.0792804579751,"01","43264"
"01","00100",21.0031400276334,"01","83400"
"01","00100",21.5920275681358,"01","02860"
"01","00100",21.6322853720394,"01","11680"
"01","00100",22.0086039602283,"01","38248"
"01","00100",22.6607959196129,"01","51468"
"01","00100",23.3498073457402,"01","19336"
"01","00100",23.7374832881556,"01","32584"
"01","00100",23.9417924057141,"01","36592"
"01","00100",24.3026924570352,"01","48784"
"01","00100",24.5634303631156,"01","41296"
"01","00100",24.6118483646927,"01","19216"
"01","00124",10.9117745507811,"01","54600"
"01","00124",12.7600658735739,"13","30816"
"01","00124",12.8403080363852,"01","32656"
"01","00124",14.846445654298,"01","03724"
"01","00124",15.555108150863,"01","33856"
"01","00124",15.9063822796008,"01","07672"
"01","00124",19.287949996781,"01","40072"
"01","00124",20.5598790018376,"01","16744"
"01","00124",20.719792140528,"01","53256"
"01","00124",21.2572285948114,"01","80376"
"01","00124",21.4468508121598,"01","32056"
"01","00124",22.0283330123019,"01","48400"
"01","00124",22.7735286292103,"13","17580"
"01","00124",22.9503949868805,"01","15640"
"01","00124",23.0858819426154,"01","44344"
"01","00124",23.1992623638351,"13","08956"
"01","00124",23.3345214801807,"13","08536"
"01","00124",23.5130971493073,"01","59832"
"01","00124",23.9987582618966,"01","57648"
"01","00124",24.43067388918,"01","21184"
"01","00124",24.7087819052196,"01","24568"
"01","00124",24.7520538259101,"01","54480"
"01","00124",24.9093132810641,"01","18088"
"01","00124",24.9554228495478,"01","15376"
"01","00460",3.65230528552402,"01","31384"
"01","00460",3.65304666454744,"01","52776"
"01","00460",3.82522132855407,"01","12040"
"01","00460",4.18020474677192,"01","47728"
"01","00460",4.82741370351528,"01","27088"
"01","00460",4.94003705505833,"01","09736"
"01","00460",5.02216913106333,"01","49072"
"01","00460",5.37636704261963,"01","23032"
"01","00460",6.13018512558506,"01","81336"
"01","00460",6.2446729118211,"01","74424"
"01","00460",6.37336117738833,"01","45208"
"01","00460",7.68238314892993,"01","52344"
"01","00460",7.75110983944021,"01","61008"
"01","00460",9.59766327147419,"01","25120"
"01","00460",9.99177403208814,"01","28552"
"01","00460",10.6205029075164,"01","21136"
"01","00460",10.6376721544695,"01","16936"
"01","00460",10.6688116360786,"01","29056"
"01","00460",10.7749247296685,"01","73848"
"01","00460",10.7954675824207,"01","65412"
"01","00460",10.825091662158,"01","48376"
"01","00460",11.4664684812052,"01","07000"
"01","00460",11.6284418310209,"01","09400"
"01","00460",12.014915256062,"01","74976"
"01","00460",12.727879023772,"01","43336"
"01","00460",12.9287368692771,"01","36448"
"01","00460",13.808378409047,"01","51456"
"01","00460",13.9047685564326,"01","35800"
"01","00460",15.5677868685912,"01","39856"
"01","00460",15.9250602809745,"01","51696"
"01","00460",16.1928863854955,"01","70704"
"01","00460",16.232844510915,"01","05980"
"01","00460",16.7741102416521,"01","78552"
"01","00460",16.8818972716483,"01","17368"
"01","00460",16.8961803980357,"01","13264"
"01","00460",17.12787115333,"01","79944"
"01","00460",17.9621334247894,"01","55152"
"01","00460",18.5694326843349,"01","35896"
"01","00460",18.5810348338965,"01","37864"
"01","00460",18.7866379718827,"01","60648"
"01","00460",19.3902348713841,"01","31348"
"01","00460",19.6224050656183,"01","58272"
"01","00460",19.7462689416702,"01","76680"
"01","00460",20.0732516428572,"01","09500"
"01","00460",20.8550551872005,"01","71201"
"01","00460",20.8714114649092,"01","17968"
"01","00460",21.3085817131077,"01","47740"
"01","00460",21.3916225011986,"01","37465"
"01","00460",22.0403564651777,"01","15256"
"01","00460",22.82630979099,"01","76944"
"01","00460",22.8592530904807,"01","34024"
"01","00460",23.5501207108768,"01","16684"
"01","00460",23.5641754652438,"01","33640"
"01","00460",23.6891336519192,"01","34490"
"01","00460",23.7527323022474,"01","58848"
"01","00460",24.1650371009043,"01","41968"
"01","00460",24.1901519957487,"01","69978"
"01","00460",24.2061198332127,"01","38416"
"01","00460",24.3643859968878,"01","40928"
"01","00460",24.9652897059324,"01","55992"
"01","00484",9.04427005191258,"01","02500"
"01","00484",12.4700708466432,"01","81528"
